epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,B_u,Loss
0,0.0,0.4661012291908264,3.390498638153076,8.280509948730469,51.959590911865234,6.896215438842773,42.870426177978516,9.466726303100586,5.089084148406982,0
1,-0.009394857101142406,0.34290769696235657,3.351013660430908,7.954336643218994,49.748897552490234,6.547951698303223,40.55022048950195,9.35828685760498,5.0399346351623535,246381577155.3459
2,-0.033455733209848404,0.3666892647743225,3.2636890411376953,7.7808942794799805,49.125335693359375,6.4243083000183105,40.52201461791992,9.362835884094238,4.985600471496582,14.374764055013657
3,-0.03216540813446045,0.3728599548339844,3.237344980239868,7.627136707305908,48.4024658203125,6.402688503265381,41.11370849609375,9.279096603393555,4.939494609832764,3.411940023303032
4,-0.06798741966485977,0.34541159868240356,3.245619297027588,7.543199062347412,47.96512985229492,6.386892318725586,41.261024475097656,9.217305183410645,4.928504467010498,2.5322640240192413
5,-0.07406515628099442,0.28416702151298523,3.2515110969543457,7.511434555053711,47.60680389404297,6.351932048797607,40.96995544433594,9.174322128295898,4.914050579071045,2.446053445339203
6,-0.07649655640125275,0.239956334233284,3.266937732696533,7.48764705657959,47.397621154785156,6.341342926025391,40.90415954589844,9.18472671508789,4.91691255569458,2.341359943151474
7,-0.08405252546072006,0.2161719799041748,3.2701587677001953,7.473432540893555,47.22350311279297,6.327955722808838,40.78804016113281,9.193166732788086,4.910338401794434,2.389145016670227
8,-0.09184135496616364,0.1997326910495758,3.266366958618164,7.461062431335449,47.14632797241211,6.330392837524414,40.82311248779297,9.189982414245605,4.915455341339111,2.354711815714836
9,-0.09583193808794022,0.19297394156455994,3.264846086502075,7.447567462921143,47.01593017578125,6.324583530426025,40.716590881347656,9.205443382263184,4.901834487915039,2.343890354037285
10,-0.09889015555381775,0.18341699242591858,3.2512221336364746,7.447457790374756,46.99386215209961,6.319803237915039,40.66822052001953,9.219325065612793,4.907069683074951,2.2938620150089264
11,-0.09277355670928955,0.17824217677116394,3.2525386810302734,7.449676990509033,46.863922119140625,6.322619915008545,40.67719268798828,9.218955039978027,4.928633213043213,2.2740266025066376
12,-0.08795229345560074,0.15730400383472443,3.2542853355407715,7.452778339385986,46.76578140258789,6.311972141265869,40.527976989746094,9.221526145935059,4.9251556396484375,2.261122480034828
13,-0.10314414650201797,0.14760224521160126,3.246068000793457,7.435014247894287,46.61016845703125,6.307483673095703,40.474464416503906,9.253722190856934,4.922818183898926,2.2729936838150024
14,-0.11041124910116196,0.1434989869594574,3.2386105060577393,7.432973861694336,46.57075500488281,6.316661834716797,40.59446716308594,9.26303768157959,4.927823066711426,2.252481460571289
15,-0.10463880747556686,0.1409061700105667,3.231529951095581,7.421160697937012,46.48481750488281,6.306297779083252,40.45606231689453,9.283802032470703,4.9316911697387695,2.239334538578987
16,-0.1072860136628151,0.1286115199327469,3.2390589714050293,7.4226393699646,46.55556106567383,6.305604934692383,40.44010925292969,9.34325122833252,4.936957836151123,2.2125133872032166
17,-0.1060931459069252,0.11993768066167831,3.243663787841797,7.419965744018555,46.50764465332031,6.302346706390381,40.401649475097656,9.37110710144043,4.942121982574463,2.262255012989044
18,-0.10671321302652359,0.11001244187355042,3.230009078979492,7.421047687530518,46.44423294067383,6.303384304046631,40.39763259887695,9.384952545166016,4.919669151306152,2.238094747066498
19,-0.1045709028840065,0.11646486818790436,3.2249386310577393,7.410791397094727,46.29700469970703,6.310272216796875,40.52338409423828,9.385272026062012,4.9246392250061035,2.224919632077217
20,-0.11611726135015488,0.08537789434194565,3.231590986251831,7.411527156829834,46.30295944213867,6.300315856933594,40.38175964355469,9.408411979675293,4.947500228881836,2.223204955458641
21,-0.11489274352788925,0.07371406257152557,3.221390962600708,7.415210247039795,46.24258041381836,6.299312114715576,40.324134826660156,9.417634963989258,4.944930076599121,2.2134718894958496
22,-0.11965486407279968,0.08228891342878342,3.215897560119629,7.421009063720703,46.31130599975586,6.300186634063721,40.295616149902344,9.440176963806152,4.9560933113098145,2.1987490952014923
23,-0.11652098596096039,0.09045632183551788,3.2068164348602295,7.414074897766113,46.231605529785156,6.295104026794434,40.230796813964844,9.459758758544922,4.938151836395264,2.1949669271707535
24,-0.11919953674077988,0.07759863138198853,3.2147274017333984,7.406429290771484,46.272972106933594,6.290400505065918,40.18376159667969,9.460826873779297,4.942485809326172,2.1940537244081497
25,-0.12133153527975082,0.07058285176753998,3.2031407356262207,7.410716533660889,46.281620025634766,6.288816928863525,40.212608337402344,9.473008155822754,4.942554950714111,2.1854847967624664
26,-0.12152820825576782,0.06096263229846954,3.2076735496520996,7.41542911529541,46.31119155883789,6.289220809936523,40.18770217895508,9.464923858642578,4.95062780380249,2.169731020927429
27,-0.12172529101371765,0.06221213564276695,3.1981165409088135,7.416226387023926,46.28802490234375,6.294658184051514,40.24272918701172,9.45465087890625,4.9529032707214355,2.183735802769661
28,-0.11518026143312454,0.06332895904779434,3.190561294555664,7.415627956390381,46.380855560302734,6.286959171295166,40.1125602722168,9.459705352783203,4.955018997192383,2.1789116710424423
29,-0.11707301437854767,0.0586470402777195,3.1869471073150635,7.418788909912109,46.34323501586914,6.29387903213501,40.220115661621094,9.463970184326172,4.947762966156006,2.1675236970186234
30,-0.11580487340688705,0.04619298875331879,3.1867449283599854,7.411047458648682,46.42232131958008,6.289668560028076,40.17012023925781,9.469930648803711,4.9506754875183105,2.1663684099912643
31,-0.11404666304588318,0.048605967313051224,3.1853790283203125,7.421166896820068,46.415687561035156,6.289885997772217,40.13084411621094,9.456297874450684,4.94699239730835,2.160927526652813
32,-0.11458495259284973,0.0461590550839901,3.180339813232422,7.419488430023193,46.40082550048828,6.286909580230713,40.09800720214844,9.455950736999512,4.948395729064941,2.1665369868278503
33,-0.11680275201797485,0.06183244287967682,3.166187047958374,7.421597480773926,46.38510513305664,6.292195796966553,40.15697479248047,9.442090034484863,4.960256099700928,2.161396771669388
34,-0.11316234618425369,0.027936676517128944,3.1794703006744385,7.414513111114502,46.34490966796875,6.296090602874756,40.18997573852539,9.408350944519043,4.955732345581055,2.176188588142395
35,-0.11475164443254471,0.028678400442004204,3.170086622238159,7.410637855529785,46.39649963378906,6.284343242645264,40.01239776611328,9.40659236907959,4.946013927459717,2.1795788556337357
36,-0.10856776684522629,0.030836058780550957,3.1596596240997314,7.415270805358887,46.40345764160156,6.282033920288086,39.966251373291016,9.404410362243652,4.957831859588623,2.1819616556167603
37,-0.10889970511198044,0.0187088530510664,3.1608805656433105,7.406117916107178,46.393211364746094,6.293582916259766,40.06195068359375,9.36847972869873,4.967371463775635,2.1780239641666412
38,-0.1111418679356575,0.028940457850694656,3.1603121757507324,7.4026689529418945,46.32147216796875,6.277103900909424,39.93125915527344,9.345877647399902,4.961175441741943,2.157478839159012
39,-0.11948484182357788,0.010481283999979496,3.1602909564971924,7.399524688720703,46.336551666259766,6.280679225921631,39.968910217285156,9.326570510864258,4.960270881652832,2.1559691429138184
40,-0.11984504759311676,0.032090771943330765,3.1448023319244385,7.404032230377197,46.37348556518555,6.281357288360596,39.972625732421875,9.315637588500977,4.980159282684326,2.1540465652942657
41,-0.12009473145008087,0.016227051615715027,3.146965265274048,7.408276557922363,46.420982360839844,6.27679967880249,39.89020919799805,9.276147842407227,4.9744720458984375,2.1475460529327393
42,-0.11831815540790558,0.026587000116705894,3.131511688232422,7.407488822937012,46.40741729736328,6.27709436416626,39.878814697265625,9.265393257141113,4.982144355773926,2.1361421197652817
43,-0.1184869259595871,0.028973229229450226,3.12686824798584,7.409146308898926,46.422142028808594,6.28176212310791,39.98601531982422,9.254278182983398,4.988941192626953,2.1325245946645737
44,-0.11708331108093262,0.03309798240661621,3.130157232284546,7.410946846008301,46.410003662109375,6.28410005569458,39.93030548095703,9.245606422424316,4.988803863525391,2.130755439400673
45,-0.11456295102834702,0.028768906369805336,3.1305768489837646,7.412217140197754,46.45994186401367,6.277852535247803,39.855224609375,9.221199035644531,4.986615180969238,2.1320671513676643
46,-0.11077625304460526,0.030114011839032173,3.1177825927734375,7.41294527053833,46.462974548339844,6.284268856048584,39.94499969482422,9.204961776733398,4.998880863189697,2.12025086581707
47,-0.10964488983154297,0.029291963204741478,3.124361515045166,7.416770935058594,46.48394775390625,6.286457538604736,39.89372253417969,9.203413963317871,5.000054359436035,2.123816579580307
48,-0.11074365675449371,0.030851347371935844,3.117802143096924,7.421056270599365,46.403236389160156,6.280740737915039,39.859100341796875,9.191990852355957,5.001128673553467,2.125651717185974
49,-0.10805124789476395,0.022319087758660316,3.116440534591675,7.41765832901001,46.49358367919922,6.288010120391846,39.92864990234375,9.183645248413086,5.011425971984863,2.114530637860298
50,-0.1115359216928482,0.027759363874793053,3.10663104057312,7.4232306480407715,46.43287658691406,6.282116413116455,39.8353271484375,9.1502685546875,5.0185465812683105,2.1164062917232513
